date,type,month
2026-05-07 22:09:09,comment,2026-05
2026-05-07 22:07:46,comment,2026-05
2026-05-06 18:27:13,comment,2026-05
2026-05-06 18:26:15,comment,2026-05
2026-05-05 09:37:37,comment,2026-05
2026-05-04 00:34:03,comment,2026-05
2026-05-03 08:18:05,comment,2026-05
2026-05-02 17:24:42,comment,2026-05
2026-05-02 15:42:40,comment,2026-05
2026-05-02 10:31:56,comment,2026-05
2026-05-01 19:57:40,comment,2026-05
2026-05-01 18:31:39,comment,2026-05
2026-05-01 17:43:13,comment,2026-05
2026-05-01 17:22:11,comment,2026-05
2026-05-01 16:38:45,comment,2026-05
2026-05-01 15:50:54,comment,2026-05
2026-05-01 15:40:37,comment,2026-05
2026-05-01 15:20:37,comment,2026-05
2026-05-01 14:52:36,comment,2026-05
2026-05-01 14:29:37,comment,2026-05
2026-05-01 14:29:13,comment,2026-05
2026-05-01 14:28:59,comment,2026-05
2026-05-01 13:42:31,comment,2026-05
2026-05-01 13:30:46,comment,2026-05
2026-05-01 13:08:52,comment,2026-05
2026-05-01 13:07:26,comment,2026-05
2026-05-01 13:06:36,comment,2026-05
2026-05-01 13:02:33,comment,2026-05
2026-05-01 13:02:04,comment,2026-05
2026-05-01 12:47:54,comment,2026-05
2026-05-01 12:47:40,comment,2026-05
2026-05-01 12:47:34,comment,2026-05
2026-04-30 10:22:27,comment,2026-04
2026-04-27 11:53:57,comment,2026-04
2026-04-26 21:43:18,comment,2026-04
2026-04-26 15:43:36,comment,2026-04
2026-04-26 12:06:04,comment,2026-04
2026-04-25 21:27:57,comment,2026-04
2026-04-25 17:21:00,comment,2026-04
2026-04-25 16:03:42,comment,2026-04
2026-04-24 15:15:47,comment,2026-04
2026-04-24 15:15:07,comment,2026-04
2026-04-24 15:14:59,comment,2026-04
2026-04-23 09:43:15,comment,2026-04
2026-04-23 09:41:33,comment,2026-04
2026-04-22 09:28:52,comment,2026-04
2026-04-21 12:28:40,comment,2026-04
2026-04-21 09:19:55,comment,2026-04
2026-04-20 13:05:20,comment,2026-04
2026-04-17 15:10:39,comment,2026-04
2026-04-15 16:34:02,comment,2026-04
2026-04-13 21:33:44,comment,2026-04
2026-04-13 18:42:39,comment,2026-04
2026-04-13 15:34:58,comment,2026-04
2026-04-11 14:59:47,comment,2026-04
2026-04-11 11:57:35,comment,2026-04
2026-04-11 02:52:10,comment,2026-04
2026-04-11 02:23:27,comment,2026-04
2026-04-10 21:58:09,comment,2026-04
2026-04-10 19:53:54,comment,2026-04
2026-04-10 18:22:25,comment,2026-04
2026-04-10 18:13:07,comment,2026-04
2026-04-10 18:12:23,comment,2026-04
2026-04-10 17:52:55,comment,2026-04
2026-04-10 16:34:49,comment,2026-04
2026-04-10 15:21:53,comment,2026-04
2026-04-10 15:12:24,comment,2026-04
2026-04-10 14:47:18,comment,2026-04
2026-04-10 14:47:11,comment,2026-04
2026-04-10 14:41:05,comment,2026-04
2026-04-10 13:30:08,comment,2026-04
2026-04-10 12:47:50,comment,2026-04
2026-04-10 12:47:17,comment,2026-04
2026-04-10 11:54:22,comment,2026-04
2026-04-10 11:54:14,comment,2026-04
2026-04-10 11:29:48,comment,2026-04
2026-04-10 11:12:06,comment,2026-04
2026-04-10 10:21:37,comment,2026-04
2026-04-10 09:56:34,comment,2026-04
2026-04-10 09:47:36,comment,2026-04
2026-04-10 09:36:55,comment,2026-04
2026-04-08 23:45:59,comment,2026-04
2026-04-07 14:20:43,comment,2026-04
2026-04-06 23:18:59,comment,2026-04
2026-04-06 23:18:30,comment,2026-04
2026-04-06 20:52:21,comment,2026-04
2026-04-05 15:22:23,comment,2026-04
2026-04-03 19:26:12,comment,2026-04
2026-04-01 15:16:53,comment,2026-04
2026-04-01 13:40:59,comment,2026-04
2026-04-01 10:12:12,comment,2026-04
2026-04-01 10:02:18,comment,2026-04
2026-03-31 21:54:41,comment,2026-03
2026-03-31 21:49:53,comment,2026-03
2026-03-31 21:49:15,comment,2026-03
2026-03-31 20:17:26,comment,2026-03
2026-03-31 18:26:23,comment,2026-03
2026-03-31 16:30:46,comment,2026-03
2026-03-31 15:21:17,comment,2026-03
2026-03-31 13:20:15,comment,2026-03
2026-03-31 11:34:57,comment,2026-03
2026-03-31 11:32:29,comment,2026-03
2026-03-31 11:31:27,comment,2026-03
2026-03-31 11:15:32,comment,2026-03
2026-03-31 11:05:24,comment,2026-03
2026-03-31 10:47:42,comment,2026-03
2026-03-31 09:20:23,comment,2026-03
2026-03-31 07:12:11,comment,2026-03
2026-03-31 06:37:38,comment,2026-03
2026-03-31 06:37:23,comment,2026-03
2026-03-30 23:41:54,comment,2026-03
2026-03-30 23:37:05,comment,2026-03
2026-03-30 22:39:50,comment,2026-03
2026-03-30 22:39:26,comment,2026-03
2026-03-30 21:50:40,comment,2026-03
2026-03-30 07:59:33,comment,2026-03
2026-03-30 06:48:11,comment,2026-03
2026-03-30 06:47:48,comment,2026-03
2026-03-29 15:18:33,comment,2026-03
2026-03-29 09:58:37,comment,2026-03
2026-03-28 23:05:08,comment,2026-03
2026-03-28 21:31:48,comment,2026-03
2026-03-28 20:05:14,comment,2026-03
2026-03-27 07:53:45,comment,2026-03
2026-03-27 06:35:09,comment,2026-03
2026-03-27 06:32:07,comment,2026-03
2026-03-26 20:55:49,comment,2026-03
2026-03-26 19:26:43,comment,2026-03
2026-03-26 19:26:32,comment,2026-03
2026-03-26 19:26:02,comment,2026-03
2026-03-26 15:16:39,comment,2026-03
2026-03-26 15:16:13,comment,2026-03
2026-03-26 14:18:45,comment,2026-03
2026-03-26 13:19:40,comment,2026-03
2026-03-26 12:38:36,comment,2026-03
2026-03-26 12:29:00,comment,2026-03
2026-03-26 12:28:52,comment,2026-03
2026-03-26 00:38:30,comment,2026-03
2026-03-25 17:54:09,comment,2026-03
2026-03-25 12:35:52,comment,2026-03
2026-03-25 10:27:22,comment,2026-03
2026-03-25 10:26:53,comment,2026-03
2026-03-25 01:34:54,comment,2026-03
2026-03-25 01:32:48,comment,2026-03
2026-03-25 00:58:57,comment,2026-03
2026-03-25 00:54:49,comment,2026-03
2026-03-25 00:53:59,comment,2026-03
2026-03-25 00:53:47,comment,2026-03
2026-03-25 00:53:12,comment,2026-03
2026-03-24 23:04:56,comment,2026-03
2026-03-24 21:57:37,comment,2026-03
2026-03-24 21:51:22,comment,2026-03
2026-03-24 21:39:46,comment,2026-03
2026-03-24 21:36:40,comment,2026-03
2026-03-24 21:35:44,comment,2026-03
2026-03-24 21:34:44,comment,2026-03
2026-03-24 21:15:34,comment,2026-03
2026-03-24 21:14:56,comment,2026-03
2026-03-24 21:10:49,comment,2026-03
2026-03-24 21:10:29,comment,2026-03
2026-03-24 20:33:15,comment,2026-03
2026-03-24 19:26:50,comment,2026-03
2026-03-24 12:48:32,comment,2026-03
2026-03-24 12:48:25,comment,2026-03
2026-03-24 10:51:55,comment,2026-03
2026-03-24 09:01:14,comment,2026-03
2026-03-24 09:00:57,comment,2026-03
2026-03-24 00:15:02,comment,2026-03
2026-03-24 00:14:03,comment,2026-03
2026-03-24 00:13:57,comment,2026-03
2026-03-23 23:24:07,comment,2026-03
2026-03-23 22:53:22,comment,2026-03
2026-03-23 22:51:58,comment,2026-03
2026-03-23 22:33:46,comment,2026-03
2026-03-23 22:33:31,comment,2026-03
2026-03-23 22:33:23,comment,2026-03
2026-03-23 21:44:35,comment,2026-03
2026-03-23 21:42:32,comment,2026-03
2026-03-23 21:15:52,comment,2026-03
2026-03-23 20:57:24,comment,2026-03
2026-03-23 20:35:37,comment,2026-03
2026-03-23 20:35:04,comment,2026-03
2026-03-23 19:44:15,comment,2026-03
2026-03-23 19:21:22,comment,2026-03
2026-03-23 19:00:52,comment,2026-03
2026-03-23 18:59:57,comment,2026-03
2026-03-23 17:48:22,comment,2026-03
2026-03-23 17:47:56,comment,2026-03
2026-03-23 17:47:42,comment,2026-03
2026-03-23 17:45:30,comment,2026-03
2026-03-23 17:45:20,comment,2026-03
2026-03-23 17:45:05,comment,2026-03
2026-03-23 15:48:20,comment,2026-03
2026-03-23 15:41:51,comment,2026-03
2026-03-23 15:30:57,comment,2026-03
2026-03-23 15:30:51,comment,2026-03
2026-03-23 15:30:16,comment,2026-03
2026-03-23 15:26:46,comment,2026-03
2026-03-23 13:06:11,comment,2026-03
2026-03-23 11:49:18,comment,2026-03
2026-03-22 20:49:52,comment,2026-03
2026-03-22 17:09:18,comment,2026-03
2026-03-22 00:18:18,comment,2026-03
2026-03-21 22:17:10,comment,2026-03
2026-03-21 14:22:14,comment,2026-03
2026-03-21 13:54:19,comment,2026-03
2026-03-21 13:19:34,comment,2026-03
2026-03-21 12:28:04,comment,2026-03
2026-03-21 12:27:40,comment,2026-03
2026-03-21 11:31:52,comment,2026-03
2026-03-21 10:38:44,comment,2026-03
2026-03-21 10:37:55,comment,2026-03
2026-03-21 06:02:45,comment,2026-03
2026-03-21 06:02:07,comment,2026-03
2026-03-21 00:17:34,comment,2026-03
2026-03-20 23:44:54,comment,2026-03
2026-03-20 23:44:38,comment,2026-03
2026-03-20 23:44:22,comment,2026-03
2026-03-20 23:11:18,comment,2026-03
2026-03-20 23:00:47,comment,2026-03
2026-03-20 23:00:21,comment,2026-03
2026-03-20 22:42:50,comment,2026-03
2026-03-20 22:42:41,comment,2026-03
2026-03-20 22:42:30,comment,2026-03
2026-03-20 22:42:23,comment,2026-03
2026-03-20 22:42:01,comment,2026-03
2026-03-20 12:06:43,comment,2026-03
2026-03-18 12:52:38,comment,2026-03
2026-03-18 02:59:31,comment,2026-03
2026-03-18 01:04:21,comment,2026-03
2026-03-18 01:03:54,comment,2026-03
2026-03-18 01:03:42,comment,2026-03
2026-03-17 21:27:09,comment,2026-03
2026-03-17 21:26:57,comment,2026-03
2026-03-17 20:55:28,comment,2026-03
2026-03-17 20:55:19,comment,2026-03
2026-03-17 20:55:12,comment,2026-03
2026-03-15 18:37:17,comment,2026-03
2026-03-15 13:31:00,comment,2026-03
2026-03-14 12:41:12,comment,2026-03
2026-03-14 12:38:51,comment,2026-03
2026-03-13 14:56:48,comment,2026-03
2026-03-12 06:10:50,comment,2026-03
2026-03-11 20:13:15,comment,2026-03
2026-03-11 11:52:42,comment,2026-03
2026-03-11 06:18:01,comment,2026-03
2026-03-11 00:05:27,comment,2026-03
2026-03-10 22:34:28,comment,2026-03
