month,new_followers,post,reel,total_content,comments_received,cumulative_followers
2024-11,9,0.0,0.0,0.0,0.0,9
2024-12,34,1.0,1.0,2.0,22.0,43
2025-01,19,1.0,2.0,3.0,30.0,62
2025-02,37,5.0,6.0,11.0,44.0,99
2025-03,35,2.0,0.0,2.0,2.0,134
2025-04,34,3.0,3.0,6.0,32.0,168
2025-05,23,0.0,1.0,1.0,4.0,191
2025-06,14,1.0,0.0,1.0,2.0,205
2025-07,300,2.0,5.0,7.0,52.0,505
2025-08,1560,5.0,11.0,16.0,179.0,2065
2025-09,2453,0.0,7.0,7.0,264.0,4518
2025-10,1849,1.0,6.0,7.0,242.0,6367
2025-11,1019,3.0,4.0,7.0,224.0,7386
2025-12,427,3.0,5.0,8.0,162.0,7813
2026-01,321,2.0,5.0,7.0,131.0,8134
2026-02,306,0.0,6.0,6.0,98.0,8440
2026-03,475,0.0,10.0,10.0,216.0,8915
2026-04,618,0.0,1.0,1.0,60.0,9533
2026-05,319,0.0,1.0,1.0,32.0,9852
